Julian date,Count corrected [/day],Radial velocity [km/s],Tangential velocity [km/s],Radial distance [au],Detection time [hours],Velocity phase angle [deg],Velocity inclination [deg],V_X (HAE) [km/s],V_Y (HAE) [km/s],V_Z (HAE) [km/s],Deviation angle [deg],Area front [m^2],Area side [m^2]
2459817.2917150925,74.0,-38.54709036986907,23.995881483375403,0.4113094736556314,8.000246518518516,144.84719941623044,-3.1555076043893155,-37.06832298407143,26.103120099549233,-2.4994112034880436,1.2175613096792728,6.11,4.62
2459817.625048426,43.0,-39.25367648061457,24.44276738313817,0.40382084536806573,3.9768215703703693,145.49608104028468,-3.1693527856302177,-38.04896473166698,26.15416094132372,-2.5565881355150406,0.0,6.11,4.62
2459817.9583817595,0,-39.98093568914852,24.91554755723238,0.39619421706893637,0.0,146.1568802926869,-3.183035107912867,-39.06676660613,26.195519203229882,-2.6157693460851212,0.6649964725972803,6.11,4.62
2459818.2917150925,0,-40.730107585316624,25.41655596489555,0.38842549105803115,0.0,146.8307515710931,-3.196552738652849,-40.12448300897811,26.225979465835206,-2.6770964397928827,1.357106078867454,6.11,4.62
2459819.625048426,49.0,-43.97436388571904,27.760977503627704,0.35583854471877535,2.904943881481482,149.6845954083007,-3.24888562273544,-44.82081761420394,26.207339105523047,-2.947242187697324,1.763474178547952,6.11,4.62
2459819.9583817595,117.0,-44.85547016909591,28.450395487314406,0.34728845074501374,8.000246518518516,150.44599528371896,-3.261493520746601,-46.131352506078215,26.1572940858,-3.022000917302478,0.8572934932045495,6.11,4.62
2459820.2917150925,153.0,-45.768320679599,29.190346770601778,0.3385657067902658,8.000246518518516,151.230644939672,-3.2738849574007824,-47.506260533390396,26.083709138032102,-3.1001371187038265,1.7593633166255245,6.11,4.62
2459820.625048426,168.0,-46.71503605543513,29.986698401261744,0.32966399986580974,8.000246518518516,152.04105407827288,-3.286039936389355,-48.95154980458338,25.98302637382272,-3.1819470227304145,1.0038570048457456,6.11,4.62
2459820.9583817595,157.0,-47.6978925278238,30.846274905303808,0.32057659389799503,8.000246518518516,152.88008313644502,-3.297932983399912,-50.47403721503421,25.85101376774999,-3.2677639945912778,0.9997551230942191,6.11,4.62
2459821.2917150925,160.0,-48.71932104490756,31.777061905706667,0.3112962995866787,8.000246518518516,153.75101174903557,-3.309531748135594,-52.081491292914706,25.682605891079543,-3.357964530101932,2.0600407156477685,6.11,4.62
2459821.625048426,175.0,-49.78189772939801,32.78846365072675,0.3018154453501726,7.891505303703703,154.65762417818345,-3.3207951861618454,-53.78280598810295,25.471698628510527,-3.452975403863195,1.1992625774167103,6.11,4.62
2459821.9583817595,193.0,-50.888320436212446,33.891631704404794,0.292125851537399,8.000246518518516,155.60431699687823,-3.3316711678435618,-55.58821344065305,25.21088194353604,-3.5532822166471965,1.193045971794536,6.11,4.62
2459822.2917150925,212.0,-52.04136288696004,35.099888526366875,0.2822188107878285,8.000246518518516,156.59623623470688,-3.342093188643339,-57.509545808365374,24.891088147088666,-3.6594395014850667,2.4557494776633835,6.11,4.62
2459822.625048426,203.0,-53.24379293993963,36.429279188946296,0.2720850805546236,7.907039762962961,157.63945371367004,-3.351976041759029,-59.56055903340416,24.501123794645924,-3.7720828841865153,1.4792258574085642,6.11,4.62
2459822.9583817595,217.0,-54.498233547757785,37.89929730115771,0.261714896671211,8.000246518518516,158.74119697547877,-3.3612097497264655,-61.75733487498686,24.027038142440837,-3.8919433433591046,1.4751190534243486,6.11,4.62
